Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Title 1,URL 1,Title 2,URL 2,Title 3,URL 3
4U 1702-429,1702-429,TRUE,BA,17,6,15.3,-43,2,10,343.9,-1.3,x,5,,,,45,,,,,,,,,
,1704+240,FALSE,,17,6,34.6,+23,58,18,45.2,+33.0,o,,7.8,1.3,2.1,0.5-11,,,,,,,,,
,1705-250,FALSE,T,17,8,14.6,-25,5,29,358.2,+9.1,o,2,15.9,0.6,,2-3600,,12.5,,,,,,,
4U 1705-44,1705-440,TRUE,BA,17,8,54.7,-44,6,2,343.8,-2.3,x,13,,,,10-280,,,,,,,,,
,1708-408,FALSE,,17,12,23,-40,50,36,346.3,-0.9,x,60,,,,32,,,,,,,,,
,J1709-267,FALSE,TB,17,9,30.2,-26,39,27,357.5,+7.9,x,120,,,,150,,,,,,,,,
,J1710-281,FALSE,TB(?),17,10,12.3,-28,7,54,356.4,+6.9,x,,,,,2,,,,,,,,,
,1711-339,FALSE,T,17,14,19.2,-34,2,58,352.1,+2.7,x,40,,,,16-130,,,,,,,,,
,J1712.6-3739,FALSE,TB,17,12,34,-37,38,36,348.9,+0.94,x,180,,,,34,(2-9keV),,,,,,,,
,1715-321,FALSE,B,17,18,47.4,-32,10,40,354.1,+3.1,x,23,,,,28,,,,,,,,,
,1716-249,FALSE,T,17,19,36.9,-25,1,3,359.8,+7.6,r,0.5,16.65-21,0.9,,1500,(20-100keV),14.7,,,,,,,
,J171824.2-402934,FALSE,B,17,18,24.13,-40,29,30.4,347.3,-1.6,x,15.7,,,,1400,,,,,,,,,
,J1723-376,FALSE,TB,17,23,38,-37,39,42,350.2,-0.86,x,30,,,,70,,,,,,,,,
,1724-356,FALSE,,17,27,39,-35,44,4,352.2,-0.5,x,78,,,,32,,,,,,,,,
,1724-307,FALSE,GBA,17,27,33.2,-30,48,7,356.3,+2.3,x,3,,,,15,,,,,,,,,
4U 1728-34   ,1728-337,TRUE,BA,17,31,57.4,-33,50,5,354.3,-0.2,x,5,,,,150,,,,,,,,,
GX 9+9,1728-169,TRUE,A,17,31,44.2,-16,57,42,8.5,+9.0,o,,16.8,0.3,-0.7,300,,4.2,,,,,,,
,1728-247,FALSE,P,17,32,2.2,-24,44,44,1.9,+4.8,o,,19,,,100,,340,114,,,,,,
,1730-312,FALSE,T,17,33,32,-31,13,0,356.3,+1.6,x,120,,,,900,,,,,,,,,
,1730-335,FALSE,GBT,17,33,24.1,-33,23,16,354.8,-0.2,x,3,,,,0.1-200,,,,,,,,,
,1730-220,FALSE,T,17,33,57,-22,2,7,4.5,+5.9,x,102,,,,10-130,,,,,,,,,
,1731-260,FALSE,BT,17,34,13,-26,5,9,1.1,+3.6,x,60,,,,10-110,,,,,,,,,
,1732-304,FALSE,GB,17,35,47.6,-30,28,56,357.6,+0.9,x,8,,,,10,,,,,,,,,
,1732-273,FALSE,TU,17,36,2,-27,25,33,0.16,+2.59,x,60,,,,5-50,,,,,,,,,
,1734-292,FALSE,,17,37,25,-29,10,48,358.84,+1.4,x,60,,,,3.4,,,,,,,,,
,1735-269,FALSE,B,17,38,16,-27,0,16,0.78,+2.40,x,120,,,,10,,,,,,,,,
4U 1735-44  ,1735-444,TRUE,BA,17,38,58.3,-44,27,0,346.1,-7,o,,17.5,0.2,-0.8,160,,4.65,,,,,,,
,1735-28,FALSE,T,17,38,34,-28,29,0,359.6,+1.56,x,420,,,,0.4-565,,,,,,,,,
,1736-297,FALSE,,17,39,33,-29,43,26,358.63,+0.7,x,60,,,,2,,,,,,,,,
,1737-31,FALSE,T,17,39,56,-30,59,0,357.3,+0.58,x,180,,,,26,,,,,,,,,
,1737-282,FALSE,,17,40,57,-28,18,36,0.01,+1.2,x,180,,,,3,,,,,,,,,
,1739-278,FALSE,T,17,42,37,-27,46,59,0.66,+1.17,x,180,23.2,,,860,(2-60keV),,,,,,,,
,1739-304,FALSE,,17,42,44,-30,30,51,358.33,-0.3,x,96,,,,9,,,,,,,,,
,1740-294,FALSE,T(?),17,43,47,-29,26,,359.36,+0.1,x,72,,,,30,,,,,,,,,
,1740.7-2942,FALSE,,17,43,54.7,-29,44,43,359.12,-0.1,x,12,,,,4-30,,,,,,,,,
,1741.2-2859,FALSE,,17,44,25.4,-29,0,45,359.8,+0.18,x,60,,,,1.5-300,,,,,,,,,
,1741-293,FALSE,TB,17,44,49,-29,21,6,359.5,-0.07,x,60,,,,5-26,,,,,,,,,
,1741-322,FALSE,TU,17,45,2,-32,13,38,357.1,-1.6,x,20,,,,2-770,,,,,,,,,
,1741.9-2853,FALSE,TB,17,45,1,-28,54,6,356,+0.13,x,45,,,,7,,,,,,,,,
,1742-326,FALSE,,17,45,29,-32,41,39,356.8,-1.9,x,540,,,,2-3,,,,,,,,,
