Serial Number,Observation_Timestamp,Proposal_ID,Target_ID,RA,Dec,Observation_ID,Prime_Instrument
603,2020-04-12 12:15:48,T03_187,T01,13.639292,-73.683694,T03_187T01_9000003608,laxpc2
619,2020-05-07 13:49:32,T03_205,T01,13.639292,-73.683694,T03_205T01_9000003652,sxt
