Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),E(B - V) (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Spectral Type,Other Name 1,Other Name 2,Title 1,URL 1,Title 2,URL 2
,J0512.6-6717,FALSE,,5,12,41.8,-67,17,23,277.8,-34.3,x,40,,,,,,,,,,,,,,,
,J0516.0-6916,FALSE,T,5,16,0.1,-69,16,9,280.1,-33.6,x,7.3,15,-0.1,-0.9,,0.07,,,,B1e,,,,,,
,J0520.5-6932,FALSE,T,5,20,30.3,-69,32,4,280.3,-33.2,x,16.6,14.4,,,,,,,,O8e,,,,,,
,0521+373,FALSE,,5,22,35.2,+37,40,34,170,+0.7,o,,7.51,0.14,-0.86,0.42,1,,,,B0IVpe,,",SAO57950",,,,
,J0529.8-6556,FALSE,TP,5,29,48.4,-65,56,51,275.9,-32.9,x,8,,,,,0.17,,,69.5,B2III-Ve,,,,,,
,053109-6609.2,FALSE,TP,5,31,13,-66,7,6,276.2,-32.7,x,10,,,,0.1,1,,25.4,13.7,Be,,,,,,
,J0531.5-6518,FALSE,,5,31,36.1,-65,18,16,275.1,-32.7,x,18.8,,,,,,,,,,,,,,,
,0532-664,FALSE,P,5,32,49.2,-66,22,14,276.3,-32.5,o,2,14,-0.1,-1.1,0.1,3 - 60,,1.4,13.5,O7III-V,LMC X-4,,,,,
,J0532.4-6535,FALSE,,5,32,25.3,-65,35,9,275.4,-32.6,x,17.4,,,,,0.01,(0.1-2.4 keV),,,,,,,,,
,J0532.5-6551,FALSE,V,5,32,32.6,-65,51,40.8,275.7,-32.6,o,,12.3,,,,0.03,(0.1-2.4 keV),,,OB,,,,,,
,J0535.0-6700,FALSE,T,5,35,5.9,-67,0,16,277.1,-32.2,x,4,18.1,,,,0.04,(0.1-2.4 keV),241,,Be,,,,,,
,0535-668,FALSE,PT,5,35,40.5,-66,51,53,276.9,-32.2,o,2,12.3 - 14.9,0.1,-0.9,0.1,0.01 - 180,,16.7,0.069,B2 III-Ve,0538-66,,,,,
,0535+262,FALSE,TP,5,38,54.6,+26,18,57,181.4,-2.6,o,,8.9 - 9.6,0.45 - 0.62,-0.54,0.8,3 - 2800,,111,104,O9.7IIIe,,",HD 245770",,,,
,J0535.8-6530,FALSE,,5,35,53.8,-65,30,34,275.3,-32.3,x,13,,,,,0.5,(0.1-2.4 keV),,,,,,,,,
LMC X-3  ,0538-641,TRUE,U,5,38,56.4,-64,5,1,273.6,-32.1,o,3,16.7 - 17.5,-0.2,-0.6,0.1,1.7 - 44,,1.7,,B3 Ve,LMC X-3,,Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B,,
LMC X-1,0540-697,TRUE,U,5,39,38.7,-69,44,36,280.2,-31.5,o,3,14.5,0.29,-0.7,0.37,3 - 25,,4.22,,O7-9 III,LMC X-1,,Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B,Estimation of the black hole spin in LMC X-1 using AstroSat,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4404M
,J0541.4-6936,FALSE,,5,41,22.2,-69,36,29,280,-31.4,x,6.6,12.01,0,,,,,,,B2 SG,,,,,,
